Date	VTI
2015-02-05	106.650002
2015-02-06	106.33000200000001
2015-02-09	105.800003
2015-02-10	106.879997
2015-02-11	106.93
2015-02-12	107.959999
2015-02-13	108.470001
2015-02-17	108.639999
2015-02-18	108.699997
2015-02-19	108.66999799999999
2015-02-20	109.279999
2015-02-23	109.269997
2015-02-24	109.519997
2015-02-25	109.480003
2015-02-26	109.410004
2015-02-27	109.019997
2015-03-02	109.690002
2015-03-03	109.239998
2015-03-04	108.800003
2015-03-05	108.970001
2015-03-06	107.459999
2015-03-09	107.860001
2015-03-10	106.220001
2015-03-11	106.139999
2015-03-12	107.470001
2015-03-13	106.870003
2015-03-16	108.209999
2015-03-17	108.0
2015-03-18	109.239998
2015-03-19	108.849998
2015-03-20	109.760002
2015-03-23	109.57
2015-03-24	108.989998
2015-03-25	106.790001
2015-03-26	106.58000200000001
2015-03-27	106.870003
2015-03-30	108.230003
2015-03-31	107.25
2015-04-01	107.050003
2015-04-02	107.389999
2015-04-06	108.129997
2015-04-07	107.769997
2015-04-08	108.230003
2015-04-09	108.610001
2015-04-10	109.120003
2015-04-13	108.690002
2015-04-14	108.849998
2015-04-15	109.400002
2015-04-16	109.349998
2015-04-17	108.08000200000001
2015-04-20	108.959999
2015-04-21	108.93
2015-04-22	109.389999
2015-04-23	109.730003
2015-04-24	109.849998
2015-04-27	109.279999
2015-04-28	109.57
2015-04-29	109.089996
2015-04-30	107.910004
2015-05-01	108.900002
2015-05-04	109.279999
2015-05-05	107.980003
2015-05-06	107.68
2015-05-07	108.089996
2015-05-08	109.449997
2015-05-11	108.989998
2015-05-12	108.66999799999999
2015-05-13	108.730003
2015-05-14	109.809998
2015-05-15	109.940002
2015-05-18	110.349998
2015-05-19	110.300003
2015-05-20	110.230003
2015-05-21	110.510002
2015-05-22	110.300003
2015-05-26	109.150002
2015-05-27	110.150002
2015-05-28	110.050003
2015-05-29	109.309998
2015-06-01	109.58000200000001
2015-06-02	109.5
2015-06-03	109.879997
2015-06-04	109.0
2015-06-05	108.910004
2015-06-08	108.239998
2015-06-09	108.150002
2015-06-10	109.449997
2015-06-11	109.769997
2015-06-12	109.059998
2015-06-15	108.57
2015-06-16	109.160004
2015-06-17	109.339996
2015-06-18	110.43
2015-06-19	109.889999
2015-06-22	110.610001
2015-06-23	110.720001
2015-06-24	109.879997
2015-06-25	109.540001
2015-06-26	109.010002
2015-06-29	106.690002
2015-06-30	107.019997
2015-07-01	107.720001
2015-07-02	107.58000200000001
2015-07-06	107.300003
2015-07-07	107.900002
2015-07-08	106.089996
2015-07-09	106.269997
2015-07-10	107.599998
2015-07-13	108.82
2015-07-14	109.32
2015-07-15	109.190002
2015-07-16	109.940002
2015-07-17	109.959999
2015-07-20	109.940002
2015-07-21	109.489998
2015-07-22	109.33000200000001
2015-07-23	108.699997
2015-07-24	107.559998
2015-07-27	106.849998
2015-07-28	108.120003
2015-07-29	108.839996
2015-07-30	108.949997
2015-07-31	108.839996
2015-08-03	108.449997
2015-08-04	108.269997
2015-08-05	108.639999
2015-08-06	107.709999
2015-08-07	107.43
2015-08-10	108.769997
2015-08-11	107.790001
2015-08-12	107.900002
2015-08-13	107.75
2015-08-14	108.160004
2015-08-17	108.849998
2015-08-18	108.57
2015-08-19	107.599998
2015-08-20	105.260002
2015-08-21	102.230003
2015-08-24	98.120003
2015-08-25	96.949997
2015-08-26	100.470001
2015-08-27	102.900002
2015-08-28	102.980003
2015-08-31	102.209999
2015-09-01	99.209999
2015-09-02	101.07
2015-09-03	101.199997
2015-09-04	99.760002
2015-09-08	102.269997
2015-09-09	100.870003
2015-09-10	101.410004
2015-09-11	101.860001
2015-09-14	101.470001
2015-09-15	102.75
2015-09-16	103.620003
2015-09-17	103.470001
2015-09-18	101.839996
2015-09-21	102.25
2015-09-22	100.879997
2015-09-23	100.68
2015-09-24	100.269997
2015-09-25	99.610001
2015-09-28	96.940002
2015-09-29	96.889999
2015-09-30	98.720001
2015-10-01	98.91999799999999
2015-10-02	100.360001
2015-10-05	102.209999
2015-10-06	101.879997
2015-10-07	102.800003
2015-10-08	103.690002
2015-10-09	103.83000200000001
2015-10-12	103.849998
2015-10-13	103.089996
2015-10-14	102.559998
2015-10-15	104.110001
2015-10-16	104.510002
2015-10-19	104.629997
2015-10-20	104.510002
2015-10-21	103.690002
2015-10-22	105.209999
2015-10-23	106.309998
2015-10-26	106.050003
2015-10-27	105.709999
2015-10-28	107.099998
2015-10-29	106.940002
2015-10-30	106.529999
